idx,seed,cosine_similarity_achieved,delta_L2,src_start,src_len,replaced_token_indices,clip_cos_replaced,clip_cos_baseline,img_replaced_path,img_baseline_path
0,71995,0.624589,297.272736,5,1,[5],0.274805,0.262778,/data/pwojcik/UnGuide/random_replacements_cat/idx000_seed71995_cos0.625_clip0.275_ref0.263.png,/data/pwojcik/UnGuide/random_replacements_cat/idx000_seed71995_BASELINE_clip0.263.png
1,71996,0.538448,318.111420,5,1,[5],0.247181,0.281346,/data/pwojcik/UnGuide/random_replacements_cat/idx001_seed71996_cos0.538_clip0.247_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx001_seed71996_BASELINE_clip0.281.png
2,71997,0.381500,325.900055,5,1,[5],0.233189,0.288471,/data/pwojcik/UnGuide/random_replacements_cat/idx002_seed71997_cos0.382_clip0.233_ref0.288.png,/data/pwojcik/UnGuide/random_replacements_cat/idx002_seed71997_BASELINE_clip0.288.png
3,71998,0.393481,305.063324,5,1,[5],0.189777,0.281958,/data/pwojcik/UnGuide/random_replacements_cat/idx003_seed71998_cos0.393_clip0.190_ref0.282.png,/data/pwojcik/UnGuide/random_replacements_cat/idx003_seed71998_BASELINE_clip0.282.png
4,71999,0.426430,312.646851,5,1,[5],0.294697,0.271417,/data/pwojcik/UnGuide/random_replacements_cat/idx004_seed71999_cos0.426_clip0.295_ref0.271.png,/data/pwojcik/UnGuide/random_replacements_cat/idx004_seed71999_BASELINE_clip0.271.png
5,72000,0.986595,276.487396,5,1,[5],0.281223,0.268258,/data/pwojcik/UnGuide/random_replacements_cat/idx005_seed72000_cos0.987_clip0.281_ref0.268.png,/data/pwojcik/UnGuide/random_replacements_cat/idx005_seed72000_BASELINE_clip0.268.png
6,72001,0.393408,319.214325,5,1,[5],0.264240,0.277151,/data/pwojcik/UnGuide/random_replacements_cat/idx006_seed72001_cos0.393_clip0.264_ref0.277.png,/data/pwojcik/UnGuide/random_replacements_cat/idx006_seed72001_BASELINE_clip0.277.png
7,72002,0.474497,310.675598,5,1,[5],0.225580,0.281048,/data/pwojcik/UnGuide/random_replacements_cat/idx007_seed72002_cos0.474_clip0.226_ref0.281.png,/data/pwojcik/UnGuide/random_replacements_cat/idx007_seed72002_BASELINE_clip0.281.png
8,72003,0.924783,283.482910,5,1,[5],0.280567,0.270141,/data/pwojcik/UnGuide/random_replacements_cat/idx008_seed72003_cos0.925_clip0.281_ref0.270.png,/data/pwojcik/UnGuide/random_replacements_cat/idx008_seed72003_BASELINE_clip0.270.png
9,72004,0.975868,281.083771,5,1,[5],0.284336,0.272475,/data/pwojcik/UnGuide/random_replacements_cat/idx009_seed72004_cos0.976_clip0.284_ref0.272.png,/data/pwojcik/UnGuide/random_replacements_cat/idx009_seed72004_BASELINE_clip0.272.png
10,72005,0.900086,285.951416,5,1,[5],0.271536,0.265658,/data/pwojcik/UnGuide/random_replacements_cat/idx010_seed72005_cos0.900_clip0.272_ref0.266.png,/data/pwojcik/UnGuide/random_replacements_cat/idx010_seed72005_BASELINE_clip0.266.png
11,72006,0.924098,284.155396,5,1,[5],0.300157,0.264488,/data/pwojcik/UnGuide/random_replacements_cat/idx011_seed72006_cos0.924_clip0.300_ref0.264.png,/data/pwojcik/UnGuide/random_replacements_cat/idx011_seed72006_BASELINE_clip0.264.png
12,72007,0.475952,306.589844,5,1,[5],0.262979,0.279439,/data/pwojcik/UnGuide/random_replacements_cat/idx012_seed72007_cos0.476_clip0.263_ref0.279.png,/data/pwojcik/UnGuide/random_replacements_cat/idx012_seed72007_BASELINE_clip0.279.png
13,72008,0.815628,293.091339,5,1,[5],0.283214,0.275415,/data/pwojcik/UnGuide/random_replacements_cat/idx013_seed72008_cos0.816_clip0.283_ref0.275.png,/data/pwojcik/UnGuide/random_replacements_cat/idx013_seed72008_BASELINE_clip0.275.png
14,72009,0.912150,282.825226,5,1,[5],0.265898,0.274151,/data/pwojcik/UnGuide/random_replacements_cat/idx014_seed72009_cos0.912_clip0.266_ref0.274.png,/data/pwojcik/UnGuide/random_replacements_cat/idx014_seed72009_BASELINE_clip0.274.png
15,72010,0.488353,307.315887,5,1,[5],0.203270,0.288927,/data/pwojcik/UnGuide/random_replacements_cat/idx015_seed72010_cos0.488_clip0.203_ref0.289.png,/data/pwojcik/UnGuide/random_replacements_cat/idx015_seed72010_BASELINE_clip0.289.png
16,72011,0.503262,322.369751,5,1,[5],0.204151,0.277949,/data/pwojcik/UnGuide/random_replacements_cat/idx016_seed72011_cos0.503_clip0.204_ref0.278.png,/data/pwojcik/UnGuide/random_replacements_cat/idx016_seed72011_BASELINE_clip0.278.png
17,72012,0.650851,305.015594,5,1,[5],0.285272,0.270734,/data/pwojcik/UnGuide/random_replacements_cat/idx017_seed72012_cos0.651_clip0.285_ref0.271.png,/data/pwojcik/UnGuide/random_replacements_cat/idx017_seed72012_BASELINE_clip0.271.png
